Statement,Label,word_count,avg_word_length,sentence_count,stop_words_count,noun_count,verb_count,adjective_count,adverb_count,pronoun_count,noun_verb_ratio,adj_adv_ratio,sentiment_polarity,sentiment_subjectivity,word2vec_average,unique_word_count,lexical_diversity,punctuation_count,uppercase_word_count,avg_sentence_length,exclamation_mark_count
And babies’ eyes? They are already 75 percent of the size of their adult eyes,fact,15,4.2,2,7,7,1,0,1,2,3.5,0,0.1,0.3,0.004584437,14,0.93,1,0,38,0
Babies are born with the ability to swim,fact,8,4.12,1,4,2,3,0,0,0,0.5,0,0,0,0.00650662,8,1,0,0,40,0
"Newborns naturally hold their breath when underwater, and even splash about with their arms and legs. If you take your baby to a swimming class you'll see these innate talents in action!",fact,32,4.84,2,15,9,5,1,2,5,1.5,0.333333333,0.11,0.25,0.004926041,30,0.94,4,0,92.5,1
"Your baby can go swimming as soon as you like, but if you're planning on taking her yourself, wait until after your six-week check. It's important to make sure you're healing well before going in the pool. When you do go swimming with your baby, make sure that she doesn't get too chilly. Choose a special baby pool with war",fact,60,4.42,4,30,9,17,5,6,10,0.5,0.714285714,0.23,0.85,0.004056251,50,0.83,11,0,80.25,0
"There's no such thing as normal"" baby sleep""",fact,8,4.62,1,3,3,1,2,0,0,1.5,2,0.07,0.57,0.003305398,8,1,3,0,44,0
"Newborns need a lot of shut-eye. In the first few weeks, your baby may sleep for up to 18 hours over the course of 24 hours, spread out in a series of naps at random times throughout the day and night ",fact,41,3.9,2,19,14,3,2,1,1,3.5,1,-0.15,0.31,0.005276493,36,0.88,4,0,99.5,0
"As she starts to learn about the difference between night and day, she'll gradually start to sleep more when it's dark and quiet",fact,23,4.61,1,12,3,5,3,1,3,0.5,1.5,0.12,0.41,0.004954079,21,0.91,3,0,128,0
"Although a sleeping and feeding routine won't work for your baby until she's around three months old, there's plenty that you can do to encourage good sleep habits during the fourth trimester, such as recognising her sleepy cues and putting her down to sleep before she gets overtired.",fact,48,4.96,1,23,11,10,5,2,6,1,1.666666667,0.13,0.32,0.004227529,44,0.92,6,0,285,0
"From birth, babies can see and hear.",fact,7,4.29,1,3,2,2,0,0,0,0.666666667,0,0,0,0.005011803,7,1,2,0,36,0
"At birth, a baby’s vision is very blurry",fact,8,4.12,1,4,5,1,1,1,0,2.5,0.5,0.2,0.3,0.004007745,8,1,1,0,40,0
Newborns are short-sighted,fact,3,8,1,1,1,1,1,0,0,0.5,1,0,0,0.003568822,3,1,1,0,26,0
A baby can only see clearly about a foot away at birth. So get in close and talk to her. Provide black and white objects for her to see up close.,fact,31,3.71,3,15,4,5,2,6,2,0.666666667,0.285714286,-0.02,0.45,0.005030228,28,0.9,3,1,47.67,0
"She loves to see new things, and it’s very important for her visual development, but they need to be near her.",fact,21,4.29,1,10,3,5,3,1,5,0.5,1.5,0.19,0.46,0.004939497,20,0.95,3,0,110,0
Premature babies are especially vulnerable to noise-induced hearing loss.,fact,9,7.22,1,2,4,1,2,1,0,2,1,-1,1,0.003455575,9,1,2,0,73,0
Your newborn baby can already distinguish the unique rhythmic patterns of the language they heard you speaking in the months before their birth.,fact,23,5.3,1,11,5,3,3,1,4,1.25,1.5,0.38,1,0.005300872,21,0.91,1,0,144,0
Talking and singing to your baby helps them to recognise the voices of the important people in their lives and can be soothing to them,fact,25,4.4,1,15,4,6,1,0,4,0.571428571,1,0.4,1,0.007502495,20,0.8,0,0,134,0
Your baby will be soothed and comforted by sounds that remind her of the rhythmic noises she heard in your womb (uterus). The sound of your heartbeat when you hold her close during skin-to-skin may also help to calm her and regulate her breathing.,fact,44,4.64,2,23,8,9,3,1,9,0.8,1.5,0.35,0.57,0.005207688,38,0.86,6,0,123,0
A baby’s hearing even within just 10 minutes of birth is good enough that they can tell where a sound is coming from. ,fact,23,4.13,1,10,6,5,1,3,1,1,0.25,0.37,0.5,0.00457221,22,0.96,1,1,117,0
Your baby loves your scent,fact,5,4.4,1,2,2,1,0,0,2,1,0,0,0,0.004086731,5,1,0,0,26,0
Your Baby can’t taste salt until 4 months of age. your baby wouldn’t even be able to taste it if you did! ,fact,22,3.82,2,9,8,5,2,1,4,1.333333333,1,0.62,0.62,0.004377194,21,0.95,2,0,52,1
"At 4 months, the taste buds that sense salt, develop. ",fact,10,4.4,1,3,4,2,0,0,0,1.333333333,0,0,0,0.002823882,10,1,3,0,53,0
Your child’s kidneys also start to use sodium at 4 months of age. Interesting how they go hand in hand,fact,20,4.15,2,7,9,4,0,1,2,1.8,0,0.5,0.5,0.004264826,19,0.95,1,0,50.5,0
"Babies and young kids, both have a hard time figuring out and separating background noises from voices speaking. So sometimes, a toddler isn’t ignoring being called, they are just dealing with the challenge of lacking response skills.",fact,37,5.35,2,16,13,10,2,3,1,1.181818182,0.5,-0.1,0.47,0.004279175,35,0.95,5,0,116.5,0
"Hearing in toddlers is much better than in adults, thanks to their relatively newer ears. They can pick up higher frequencies of sounds that adults just automatically learn to tune out.",fact,31,5,2,13,7,5,3,4,2,1.166666667,0.6,0.24,0.3,0.004421415,29,0.94,3,0,92,0
"Most 1 year olds are ambidextrous. Your 1 year old can use both hands equally and you think, Awesome! Most kids prefer one hand or the other by the time they are age 2 or 3. 90% of children will choose their right hand. So if you have a lefty on your hands, consider yourself lucky!",fact,56,4.05,5,27,13,9,7,2,7,1.3,2.333333333,0.33,0.52,0.004618491,49,0.88,8,0,55.6,2
"They’re running around, exploring everything they can get their hands on, throwing tantrums and learning about their boundaries. ",fact,18,6.17,1,6,4,6,1,1,4,0.571428571,0.5,0,0,0.00399202,17,0.94,3,0,128,0
"As a toddler, your child has over 100 trillion brain connections occurring which is more than they’ll ever have as they continue to grow. That’s why this stage is ideal for teaching them as much as you can while those neural pathways are thriving!",fact,44,4.64,2,25,6,12,5,3,5,0.461538462,1.25,0.55,0.57,0.004784453,41,0.93,3,0,123,1
Toddlerhood is an explosive time for brain development.,fact,8,6,1,3,4,1,1,0,0,2,1,0,0,0.005102074,8,1,1,0,55,0
Brain and nervous system developments during early childhood also continue to be dramatic.,fact,13,6,1,4,4,2,3,1,0,1.333333333,1.5,-0.17,0.45,0.004406376,13,1,1,0,90,0
"Before preschoolers enter kindergarten, their brains are more active and more flexible, with more connections per brain cell than the brains of adult human beings",fact,25,5.52,1,11,9,2,4,2,1,3,1.333333333,0.24,0.42,0.004963327,22,0.88,2,0,162,0
"At a tender age, without pressurizing kids with theoretical knowledge, it is good to introduce them to learning toys, for their brain development.",fact,23,5.39,1,10,7,4,2,0,3,1.4,2,0.35,0.35,0.005051738,22,0.96,4,0,146,0
A baby’s brain at birth contains trillions of neurons all waiting to be wired. ,fact,14,4.64,1,6,8,3,0,0,0,2,0,0,0,0.004922745,14,1,1,1,78,0
The weight of a newborn’s brain is about a quarter of its adult size. It grows like crazy in the first few years of life building connections between the neurons called synapses.,fact,32,4.59,2,15,13,4,3,0,2,2.6,3,-0.11,0.41,0.005139893,28,0.88,2,0,88.5,0
These synapses help the brain do everything from using a spoon to remembering the words to a song.,fact,18,4.5,1,9,6,4,0,0,0,1.2,0,0,0,0.00616973,15,0.83,1,0,98,0
The brain develops most rapidly in the first few years of a child’s life. ,fact,14,4.29,1,7,5,1,3,2,0,2.5,1,0.18,0.31,0.005881625,14,1,1,0,73,0
Much of a child’s brain development happens in the first few years after birth,fact,14,4.64,1,6,7,1,3,0,0,3.5,3,0.08,0.21,0.005748272,14,1,0,0,78,0
"When a child is born, his entire body is functional, except the cerebral cortex. It is a part that still needs to develop.",fact,23,4.35,2,11,4,6,3,1,2,0.571428571,1.5,0,0.62,0.004761086,20,0.87,4,0,60.5,0
Cerebellum which controls the movement of a child and which is a brain structure that is situated behind the brain is considered to be the fastest of all the brain structures to develop in a child.,fact,36,4.5,1,21,8,9,1,0,0,0.8,1,-0.4,0.7,0.007284604,24,0.67,1,0,197,0
"cerebral cortex of the brain is responsible for stories, memories, thoughts, and voluntary muscle movement. All of these skills are not able to develop until the child enters the world and starts breathing in the real world.",fact,37,5.08,2,17,11,6,5,1,0,1.571428571,2.5,0.05,0.49,0.005683327,32,0.86,5,0,111.5,0
"More of such memory-related games can be introduced to them, to make their memory develop faster.",fact,16,5.12,1,8,2,4,3,1,2,0.4,1.5,0.25,0.5,0.005251497,15,0.94,3,0,97,0
A baby is born with billions of brain cells and these quickly start to make connections – hundreds per second – as the baby interacts with the world,fact,28,4.32,1,11,10,5,1,1,0,1.666666667,0.5,0.17,0.25,0.005844404,24,0.86,0,1,148,0
There are many cells in a child’s brain that are not connected with each other until at a later stage.,fact,20,4.15,1,13,6,3,3,1,0,1.5,1.5,0.12,0.29,0.005851681,18,0.9,1,0,102,0
There are many cells that do not connect with each other unless and until at a later stage.,fact,18,4.11,1,12,2,3,3,1,0,0.5,1.5,0.12,0.29,0.00519589,18,1,1,0,91,0
Nerve cell connections in the brain of a 2 or 3 year child are almost double the number of connections available within an adult.,fact,24,4.42,1,9,9,1,1,2,0,4.5,0.333333333,0.17,0.23,0.005308564,21,0.88,1,0,129,0
The most crucial piece of information here is that the way your child receives his learnings from you determines which cell connection will develop at this stage and which of them would no longer function.,fact,35,4.89,1,20,8,5,2,3,4,1.333333333,0.5,0.25,0.75,0.004918985,33,0.94,1,0,205,0
"Everyone loves the terrible twos! They throw tantrums, they kick and scream, and even make you wish you could through a tantrum! Your 2 year old has more than 100 trillion synapses, or brain connections; this is the most they will have in their lifetime. Take advantage and teach them all you know, or don’t know, since adults have half of the neural pathways your 2 year old has!",fact,69,4.52,4,32,17,14,6,2,10,1.133333333,2,0.01,0.43,0.004718775,56,0.81,10,0,94.25,3
They Have More Brain Synapses Than Adults2,fact,7,5.14,1,4,4,1,1,0,1,2,1,0.5,0.5,0.00084655,7,1,0,0,42,0
"If neurons aren’t used, they die and if the synapses aren’t strong they are ‘pruned’ to make brain circuits more efficient.",fact,21,4.9,1,9,7,6,6,1,2,1,3,0.47,0.62,0.004954844,19,0.9,2,0,123,0
A child’s experiences really come into play to determine whether those connections strengthen or are dropped or pruned,fact,18,5.61,1,7,6,6,0,1,0,0.857142857,0,0.2,0.2,0.004005051,17,0.94,0,1,118,0
"the brain is built by an interactive process known as ‘serve and return’. Your baby serves you with a sound or gesture and you return the sound or gesture. Your baby smiles and what do you do? You poke out your tongue and what does he do? And so on it goes. These simple, instinctive interactions are building the structure of your baby’s brain in what is known as brain architecture. Caring and nurturing serve and return exchanges shape a child’s learning, feelings and behaviours.",fact,85,4.69,7,44,31,17,4,1,10,1.722222222,2,0.27,0.39,0.005200016,60,0.71,9,0,68.14,0
"The better developed the brain and nervous systems are, the more complex behavioral and cognitive abilities children are capable of.",fact,20,5.65,1,7,5,3,5,1,0,1.25,2.5,0.2,0.42,0.005028842,18,0.9,2,0,132,0
"The brain is comprised of two halves, the right and left cerebral hemispheres. Lateralization refers to the localization of assorted functions, competencies, and skills in either or both hemispheres. Specifically, language, writing, logic, and mathematical skills seem to be located in the left hemisphere, while creativity, fantasy, artistic, and musical skills seem to be located in the right hemisphere. Although the hemispheres may have separate functions, these brain masses almost always coordinate their functions and work together.",fact,77,6.01,4,28,24,13,6,6,1,1.714285714,0.857142857,0.13,0.3,0.004873497,54,0.7,16,0,134,0
"The two cerebral hemispheres develop at different rates, with the left hemisphere developing more fully in early childhood (ages 2 to 6), and the right hemisphere developing more fully in middle childhood (ages 7 to 11). ",fact,36,5.14,1,12,6,5,5,5,0,1,0.833333333,0.2,0.35,0.00467979,27,0.75,7,0,220,0
"The left hemisphere predominates earlier and longer, which may explain why children acquire language so early and quickly.",fact,18,5.83,1,6,4,3,3,2,0,1,1,0.11,0.33,0.004428724,17,0.94,2,0,122,0
"Another aspect of brain development is handedness, or preference for using one hand over the other. ",fact,16,5.25,1,6,5,2,2,0,0,1.666666667,2,-0.12,0.38,0.00480359,16,1,2,0,99,0
Handedness appears to be strongly established by middle childhood.,fact,9,6.44,1,3,2,3,1,1,0,0.5,0.5,0.22,0.37,0.003771712,9,1,1,0,66,0
A person is ambidextrous if he or she shows no preference for one hand over the other. ,fact,17,4.12,1,10,3,2,2,0,2,1,2,-0.12,0.38,0.004332307,17,1,1,1,86,0
"Typically, right_handedness is associated with left_cerebral dominance and left_handedness with right_cerebral dominance.",fact,12,9.17,1,4,4,2,2,1,0,1.333333333,1,-0.17,0.5,0.004036178,11,0.92,6,0,121,0
"The nervous system undergoes changes in early childhood, too. ",fact,9,5.89,1,2,3,0,3,1,0,3,1.5,0.1,0.3,0.002759736,9,1,2,0,61,0
"The majority of a child's neurons, or cells that make up nerves, form prenatally. However, the glial cells, (nervous system support cells surrounding neurons) that nourish, insulate, and remove waste from the neurons without actually transmitting information themselves, develop most rapidly during infancy, toddlerhood, and early childhood. The myelin sheaths that surround, insulate, and increase the efficiency of neurons (by speeding up the action potential along the axon) also form rapidly during the first few years of life. The postnatal developments of glial cells and myelin sheaths help to explain why older children may perform behaviors that younger children are not capable of",fact,103,5.71,4,35,34,13,12,8,1,2.428571429,1.333333333,0.06,0.29,0.004260583,74,0.72,19,0,171.75,0
Your toddler’s brain is working twice as hard as yours,fact,10,4.5,1,5,5,2,1,2,1,1.666666667,0.333333333,-0.29,0.54,0.004387713,9,0.9,0,0,54,0
The Brain Of Children Is The Same Structure As The Adult Brain.,fact,12,4.33,1,7,5,1,1,0,0,2.5,1,0.05,0.21,0.002355121,10,0.83,1,0,63,0
"The structures of the brains of kids and adults carry out the same functions through the same mechanisms. Children even think mainly in the same way as adults. But, due to the lack of experience, they need to develop their ability to think. They need to learn to regulate their own behavior and interactions. Kids also require various experiences in the classroom to help them develop these self-regulatory and self-reflective skills",fact,71,5.11,5,34,18,11,8,3,5,1.5,2,0.09,0.37,0.005857721,51,0.72,8,0,85.8,0
"The young child’s brain has basically the same structures as the adult brain. These structures carry out the same functions via the same mechanisms. For example, a concept in science may depend on neurons being simultaneously active in visual, spatial, memory, deductive and kinaesthetic regions, in both brain hemispheres. Ideas such as left-brain/right-brain learning, or unisensory ‘learning styles’ (visual, auditory or kinaesthetic) are not supported by the brain science of learning.",fact,71,5.9,4,30,26,6,16,3,0,3.714285714,4,0.01,0.24,0.004238519,57,0.8,16,0,121.5,0
The brain is the fastest growing organ in the first three years of a child’s growth.,fact,16,4.31,1,7,6,2,3,0,0,2,3,0.25,0.33,0.006237711,15,0.94,1,0,84,0
"Cerebellum, the part of the brain that controls movement, is situated at the back of the brain and is considered to be the fastest of all brain structures to develop in a child.",fact,33,4.39,1,19,9,7,1,0,0,1.125,1,0,0,0.007467471,23,0.7,3,0,177,0
Your Baby’s Brain Is Rapidly Growing,fact,6,5.17,1,2,4,2,0,1,1,1.333333333,0,0,0,0.0010064,6,1,0,0,36,0
"That can’t be ignored, proving the need for enriching childhood experiences that fuel this growth and development",fact,17,5.71,1,7,5,6,0,1,0,0.714285714,0,0,0,0.004552884,17,1,1,0,113,0
"Baby Bodies Grow Fast, But Not As Fast As Their Brains",fact,11,4,1,5,8,0,0,1,0,8,0,0.2,0.6,0.000507958,10,0.91,1,0,54,0
In fact children’s brains develop connections faster in the first five years than at any other time in their lives.,fact,20,4.8,1,9,8,2,2,1,1,2.666666667,1,0.06,0.35,0.004696168,19,0.95,1,0,115,0
"Babies can distinguish cats from dogs, something that is extremely difficult to program into a computer.",fact,16,5.56,1,7,6,2,1,1,0,2,0.5,-0.5,1,0.004203899,16,1,2,0,104,0
"Researchers note that a baby’s brain is like a lantern: it is vaguely aware of everything. An adult’s brain, on the other hand, is more like a flashlight, consciously focused on specific things but ignoring background. Scientists suggest that creative people have retained some ability to think like an infant.",fact,50,5.22,3,21,19,10,4,3,1,1.727272727,1,0.19,0.44,0.004726598,42,0.84,7,0,102.67,0
A baby is aware of everything around them and tried to process it all as one. ,fact,16,3.88,1,9,2,3,1,0,2,0.5,1,0.25,0.25,0.00648318,16,1,1,1,77,0
"Basic aspects of brain function, such as the ability to see and hear effectively, do depend critically on very early experiences as do some aspects of emotional development.",fact,28,5.21,1,13,7,5,4,3,0,1.166666667,1,0.15,0.49,0.005171572,24,0.86,3,0,173,0
"The ongoing interchange between genes and different environments – within which children are born, grow, learn and live – shapes the developing brain”",fact,23,5.57,1,7,7,8,2,0,0,0.777777778,2,0.07,0.55,0.004270709,21,0.91,2,0,150,0
"Based on the repetitive sensory experiences, the brain establishes connection of the words with experiences/objects",fact,15,6.73,1,6,6,2,1,0,0,2,1,-0.25,0.25,0.005602272,13,0.87,2,0,115,0
"Based on the repetitive sensory experiences, brain would be able to successfully establish connection of the words with the experiences and objects.",fact,22,5.77,1,9,7,3,2,1,0,1.75,1,0.33,0.61,0.005943846,20,0.91,2,0,148,0
The brain builds upon repetitive sensory experiences.,fact,7,6.71,1,1,2,1,2,0,0,1,2,-0.25,0.25,0.002350055,7,1,1,0,53,0
The language portion of the brain is enhanced greatly by interaction with others because the brain can then connect words with objects and experiences.,fact,24,5.33,1,12,9,3,0,2,0,2.25,0,0.8,0.75,0.00587039,21,0.88,1,0,151,0
"Movement gets the brain going. An active body makes for an active brain, so make learning a hands-on affair.",fact,19,4.74,2,6,5,5,3,1,0,0.833333333,1.5,-0.13,0.6,0.003737666,18,0.95,4,0,53.5,0
Learning and enhancing the language portion of the brain is to instill communication skills in kids,fact,16,5.25,1,7,6,4,0,0,0,1.2,0,0,0,0.006904285,15,0.94,0,0,99,0
"Our brains are truly amazing. “During these critical years, the foundation is laid for a child’s physical and mental health, affecting everything from longevity to the lifelong capacity to learn, from the ability to adapt to change to the capacity for resilience against adverse circumstances.",fact,45,5.53,2,20,14,7,7,1,1,1.75,3.5,0.08,0.53,0.005000554,35,0.78,5,0,146,0
"Stable, caring, interactive relationships with adults will benefit healthy brain development of young children",fact,14,6.93,1,3,5,2,4,0,0,1.666666667,4,0.3,0.45,0.004150759,14,1,2,0,110,0
Communication the kids have with their parents matters a lot in enhancing the language portion of the brain.,fact,18,5.06,1,9,7,3,0,0,1,1.75,0,0,0,0.006539805,16,0.89,1,0,108,0
"You might think that whilst your baby is having a little nap her brain is too. But the truth is, parts of your baby’s brain are more active during sleep than when awake.",fact,33,4.15,2,17,10,7,3,2,4,1.25,1,0.06,0.53,0.004868438,30,0.91,3,0,84,0
"They shape the brain’s organization, development, and functioning throughout life.",fact,10,7.3,1,3,6,2,0,0,1,2,0,0,0,0.003784323,10,1,3,0,82,0
"Cognitive development refers to children’s ability to learn, understand their environment and begin to solve problems on their own.",fact,19,5.95,1,7,8,5,1,0,2,1.333333333,1,0.6,1,0.005249745,16,0.84,2,0,131,0
"Cognitive development can mean different things at different ages. For example, as a baby, solving problems may refer to exploring the immediate environment with hands and mouth. For a 5-year-old, problem-solving may refer to tying shoelaces, eating with cutlery or even solving simple mathematical problems.",fact,45,5.87,3,14,12,8,8,1,0,1.333333333,4,-0.06,0.45,0.004276596,37,0.82,10,0,102,0
Playing peek-a-boo is beneficial for infants,fact,6,6.5,1,2,2,2,1,0,0,0.666666667,1,0,0,0.003303568,6,1,2,0,44,0
"We’ve all seen someone play peek-a-boo with an infant. While this seems like a simple and easy way to get some chuckles out of a baby, it’s actually very beneficial for their cognitive development. ",fact,34,4.82,2,15,6,6,6,2,3,0.857142857,2,0.21,0.5,0.00453,33,0.97,5,0,98,0
"Playing peek-a-boo helps a child develop object permanence. Object permanence is the understanding that an object or event continues to exist even when it cannot be touched, heard, or seen. This concept develops between infants who are 6 months to a year old.",fact,43,5.05,3,17,13,10,3,2,1,1.181818182,1,0.1,0.2,0.004468479,39,0.91,7,0,85.67,0
"Children are constantly expanding and reorganizing their mental structures as they process their experiences. The structure of their brains actually changes. Activity causes the brain to create and eliminate neural circuits. This happens throughout life, but it is most common in early childhood. Children learn from observation, activities and from direct instruction. But, to improve cognitive functioning, activities and instruction must align with the child’s stage of development and with his cognitive capacities.",fact,73,6.12,6,29,23,12,8,3,6,1.769230769,2,0.04,0.33,0.005048154,59,0.81,10,0,85.67,0
"While a toddler’s exclamation of “mine” may seem to be selfish refusal, it actually indicates a cognitive achievement of selfhood. They are beginning to understand that other people are separate entities.",fact,31,5.61,2,14,11,7,5,1,2,1.375,2.5,-0.21,0.49,0.004969047,27,0.87,3,0,101.5,0
Engaging children in planning and reflection enhance their predictive and analytic capabilities,fact,12,7,1,4,4,2,2,0,1,1.333333333,2,0.4,0.7,0.004787174,11,0.92,0,0,95,0
"Sleep isn’t just a rest for baby’s brain, it’s a cognitive process",fact,12,4.58,1,4,10,2,1,1,1,3.333333333,0.5,0,0,0.004149827,11,0.92,1,0,66,0
"Research into the brain activity of baby birds (Rauske et al., 2003) has provided some insight into the importance of sleep for human babies. In the study, two groups of zebra finch chicks practised their tweeting. Afterwards, one group rested silently and the other group went to sleep. Interestingly, the brains of the resting chicks measured reduced brain activity whereas the sleeping chick’s brains showed high levels of activity indicating that they were still processing their mothers’ songs. Fascinating!",fact,79,5.49,5,26,32,15,4,4,3,2,0.8,0.24,0.41,0.003860279,61,0.77,12,0,101.6,1
"So it seems that sleep time is not all about sweet dreams for baby and a bit of peace for mummy – it is actually an important time for cognitive processing which is crucial to a baby’s development. Babies know what’s good for them. Sleep, and lots of it!",fact,49,4.2,3,23,18,6,5,2,4,2.571428571,1.666666667,0.41,0.81,0.00538087,39,0.8,4,0,84,1
"The most common type of developmental delay in children is language and speech problems. Speech refers to verbal expression, such as the way words are formed. Language is more broad and includes expressing and receiving information, such as understanding gestures",fact,40,5.6,3,17,14,7,7,2,0,1.75,2.333333333,0.13,0.47,0.005053927,35,0.88,4,0,87,0
Language is the most difficult thing a child must learn in their early development. ,fact,14,5,1,6,4,2,2,1,1,1.333333333,1,0.03,0.6,0.006017536,14,1,1,0,83,0
Language is also the most common skill that children fall behind on in early development.,fact,15,5,1,6,4,2,2,2,0,1.333333333,0.666666667,-0.03,0.5,0.005396988,15,1,1,0,89,0
Babies love to look at faces and enjoy mimicking interactions even at a few days old,fact,16,4.31,1,6,3,5,2,1,0,0.5,1,0.2,0.35,0.004682937,15,0.94,0,0,84,0
Babies Can Understand You Before They Learn How to Talk,fact,10,4.6,1,6,1,3,0,0,2,0.25,0,0,0,0.00245652,10,1,0,0,55,0
"although she won't say her first word until she's about a year old, she's learning about language right from the start",fact,21,4.67,1,11,4,4,2,2,4,0.8,0.666666667,0.21,0.36,0.00413755,19,0.9,4,0,118,0
"Even though they understand thousands of words, toddlers may not speak as many",fact,13,5.08,1,4,3,2,1,2,1,1,0.333333333,0.5,0.5,0.004141492,13,1,1,0,78,0
